"filename", "language", "Properties", "JSON with Comments", "TypeScript", "JSON", "Solidity", "JavaScript", "TypeScript JSX", "CSS", "Markdown", "Git Commit Message", "comment", "blank", "total"
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\StorageSlot.sol\StorageSlot.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\StorageSlot.sol\StorageSlot.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\Strings.sol\Strings.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\ERC2612\utils\Strings.sol\Strings.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\Factory.sol\Factory.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\Factory.sol\Factory.json", "JSON", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\FundsDemo.sol\FundsDemo.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\FundsDemo.sol\FundsDemo.json", "JSON", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\LibStringDemo.sol\LibStringsDemo.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\LibStringDemo.sol\LibStringsDemo.json", "JSON", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Дмитрий\Web3\Solidity Developer\my-contracts\artifacts\contracts\practice-GuideDAO\MappingDemo.sol\MappingDemo.dbg.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
